type,trialNo,stim1,stim2,stim3,key,ITI,presTime,stimFormat,title,content,trialText,button1,feedbackCorrect,feedbackIncorrect,keyboard
instructions,,,,,,500,,,Cambridge Bike Memory Test for Children," Original 6 <br><br> The Social Perception Lab, 2012",,return,,,
instructions,,,,,,500,,,Practice,Memorize the bike in the next three images.<br><br>A test will follow.<br><br>Press ENTER to begin.,,return,,,
learn,,bart_left,,,,500,3000,.jpg,,,Practice,,,,
learn,,bart_straight,,,,500,3000,.jpg,,,Practice,,,,
learn,,bart_right,,,,500,3000,.jpg,,,Practice,,,,
practice,,1_pract_left,2_pract_left,3_pract_left,2,500,,.jpg,,,Which bike did you just view?,,Yes!,Oops! It was the bike in the middle!,1 2 3
practice,,1_pract_right,2_pract_right,3_pract_right,1,500,,.jpg,,,Which bike did you just view?,,Great! ,Oops! It was the first bike!,1 2 3
practice,,1_pract_straight,2_pract_straight,3_pract_straight,3,500,,.jpg,,,Which bike did you just view?,,You got it!,Oops! It was the last bike!,1 2 3
instructions,,,,,,500,,,,"These were the practice trials.<br><br>Great! Let's go on and do the actual test.<br><br>In this test, you will learn to recognize six bikes.<br><br>To begin memorizing the first bike, click START.",,return,,,
learn,,Bob_left_study,,,,500,3000,.jpg,,,Memorize,,,,
learn,,Bob_frontal_study,,,,500,3000,.jpg,,,Memorize,,,,
learn,,Bob_right_study,,,,500,3000,.jpg,,,Memorize,,,,
test,1,1_B1_Identical_Left,2_B1_Identical_Left,3_B1_Identical_Left,3,500,,.jpg,,,Which bike did you just view?,,,,1 2 3
test,2,1_B2_Identical_Frontal,2_B2_Identical_Frontal,3_B2_Identical_Frontal,2,500,,.jpg,,,Which bike did you just view?,,,,1 2 3
test,3,1_B3_Identical_Right,2_B3_Identical_Right,3_B3_Identical_Right,3,500,,.jpg,,,Which bike did you just view?,,,,1 2 3
instructions,,,,,,500,,,,Memorize the following bike.<br><br>press ENTER.,,return,,,
learn,,Dan_Left_Study,,,,500,3000,.jpg,,,Memorize,,,,
learn,,Dan_frontal_study,,,,500,3000,.jpg,,,Memorize,,,,
