type,block,randomize,condition1,trialNo,stim1,key,ITI,presTime,stimFormat,title,content,trialText,button1,feedbackIncorrect,keyboard
instructions,5,no,,,,,500,,,Cambridge Face Memory Test,,,return,,
instructions,5,no,,,,,500,,,Practice,Memorize the face in the next three images.<br><br>A test will follow.<br><br>press ENTER to begin.,,return,,
learn,5,no,,,bart_left,,500,3000,.jpg,,,Practice,,,
learn,5,no,,,bart_straight,,500,3000,.jpg,,,Practice,,,
learn,5,no,,,bart_right,,500,3000,.jpg,,,Practice,,,
practice,5,no,,,pract_left,1,500,,.jpg,,,"Which face did you just view? There is only one correct answer. Press 1, 2 or 3",,That is wrong! The correct response was 1,1 2 3
practice,5,no,,,pract_right,2,500,,.jpg,,,"Which face did you just view? There is only one correct answer. Press 1, 2 or 3",,That is wrong! The correct response was 2,1 2 3
practice,5,no,,,pract_straight,2,500,,.jpg,,,"Which face did you just view? There is only one correct answer. Press 1, 2 or 3",,That is wrong! The correct response was 2,1 2 3
instructions,5,no,,,,,500,,,,"These were the practice trials.<br><br>Great! Let's go on and do the actual test.<br><br>In this test, you will learn to recognize six people.<br><br>To begin memorizing the first face, press ENTER.",,return,,
learn,5,no,,,Bob_left_study,,500,3000,.jpg,,,Memorize,,,
learn,5,no,,,Bob_frontal_study,,500,3000,.jpg,,,Memorize,,,
learn,5,no,,,Bob_right_study,,500,3000,.jpg,,,Memorize,,,
test,5,no,learn,1,B1_Identical_Left,2,500,,.jpg,,,Which face did you just view?,,,1 2 3
test,5,no,learn,2,B2_Identical_Frontal,3,500,,.jpg,,,Which face did you just view?,,,1 2 3
test,5,no,learn,3,B3_Identical_Right,3,500,,.jpg,,,Which face did you just view?,,,1 2 3
instructions,5,no,,,,,500,,,,Memorize the following face.<br><br>press ENTER.,,return,,
learn,5,no,,,Dan_Left_Study,,500,3000,.jpg,,,Memorize,,,
learn,5,no,,,Dan_frontal_study,,500,3000,.jpg,,,Memorize,,,
learn,5,no,,,Dan_Right_Frontal,,500,3000,.jpg,,,Memorize,,,
test,5,no,learn,4,D1_Identical_Left,2,500,,.jpg,,,Which face did you just view?,,,1 2 3
