type	block	randomize	stim1	key	ITI	presTime	stimFormat	text	content	trialText	trialAudio	keyboard
instructions	1				500				Memorize the bike in the next three images.<br><br>A test will follow.<br><br>Press ENTER to begin.		CBMT_practice_intro.wav	
pause	1				500			||				return
learn	1		bart_left		500	3000	.jpg			Practice		
learn	1		bart_straight		500	3000	.jpg			Practice		
learn	1		bart_right		500	3000	.jpg			Practice		
test	1		1	2	500		.jpg			Which bike did you just view?	which_bike_did_you_just_see.wav	1 2 3
test	1		2	1	500		.jpg			Which bike did you just view?	which_bike_did_you_just_see.wav	1 2 3
test	1		3	3	500		.jpg			Which bike did you just view?	which_bike_did_you_just_see.wav	1 2 3
instructions	1				500				Memorize the following bike.<br><br>press ENTER.		memorizefollowingCBMT.wav	
learn	1		Bob_left_study		500	3000	.jpg			Memorize		
learn	1		Bob_frontal_study		500	3000	.jpg			Memorize		
learn	1		Bob_right_study		500	3000	.jpg			Memorize		
test	1		4	3	500		.jpg			Which bike did you just view?	which_bike_did_you_just_see.wav	1 2 3
test	1		5	2	500		.jpg			Which bike did you just view?		1 2 3
test	1		6	3	500		.jpg			Which bike did you just view?		1 2 3
instructions	1				500				Memorize the following bike.<br><br>press ENTER.		memorizefollowingCBMT.wav	
learn	1		Dan_Left_Study		500	3000	.jpg			Memorize		
learn	1		Dan_frontal_study		500	3000	.jpg			Memorize		
learn	1		Dan_Right_Frontal		500	3000	.jpg			Memorize		
test	1		7	1	500		.jpg			Which bike did you just view?	which_bike_did_you_just_see.wav	1 2 3
test	1		8	3	500		.jpg			Which bike did you just view?		1 2 3
test	1		9	2	500		.jpg			Which bike did you just view?		1 2 3
instructions	1				500				Memorize the following bike.<br><br>press ENTER.		memorizefollowingCBMT.wav	
learn	1		Jim_left		500	3000	.jpg			Memorize		
learn	1		Jim_front		500	3000	.jpg			Memorize		
learn	1		Jim_right		500	3000	.jpg			Memorize		
test	1		10	1	500		.jpg			Which bike did you just view?	which_bike_did_you_just_see.wav	1 2 3
test	1		11	1	500		.jpg			Which bike did you just view?		1 2 3
test	1		12	2	500		.jpg			Which bike did you just view?		1 2 3
instructions	1				500				Memorize the following bike.<br><br>press ENTER.		memorizefollowingCBMT.wav	
learn	1		Matt_left_cropped		500	3000	.jpg			Memorize		
learn	1		Matt_front		500	3000	.jpg			Memorize		
learn	1		Matt_right_cropped		500	3000	.jpg			Memorize		
test	1		13	3	500		.jpg			Which bike did you just view?	which_bike_did_you_just_see.wav	1 2 3
test	1		14	2	500		.jpg			Which bike did you just view?		1 2 3
test	1		15	1	500		.jpg			Which bike did you just view?		1 2 3
instructions	1				500				Memorize the following bike.<br><br>press ENTER.		memorizefollowingCBMT.wav	
learn	1		Nate_left_cropped		500	3000	.jpg			Memorize		
learn	1		Nate_front_cropped		500	3000	.jpg			Memorize		
learn	1		Nate_right_cropped		500	3000	.jpg			Memorize		
test	1		16	2	500		.jpg			Which bike did you just view?	which_bike_did_you_just_see.wav	1 2 3
test	1		17	2	500		.jpg			Which bike did you just view?		1 2 3
test	1		18	3	500		.jpg			Which bike did you just view?		1 2 3
instructions	1				500				Memorize the following bike.<br><br>press ENTER.		memorizefollowingCBMT.wav	
learn	1		Zack_Left_cropped		500	3000	.jpg			Memorize		
learn	1		Zack_Front_cropped		500	3000	.jpg			Memorize		
learn	1		Zack_Right_Cropped		500	3000	.jpg			Memorize		
test	1		19	1	500		.jpg			Which bike did you just view?	which_bike_did_you_just_see.wav	1 2 3
