type	block	randomize	condition1	trialNo	stim1	key	ITI	presTime	stimFormat	text	content	trialText	trialAudio	keyboard
pause	1						500			||	Memorize the car in the next three images.<br><br>A test will follow.<br><br>press ENTER to begin.		practice-instructions_CCMT.wav	return
learn	1				prac_v1		500	3000	.jpg			Practice		
learn	1				prac_v2		500	3000	.jpg			Practice		
learn	1				prac_v3		500	3000	.jpg			Practice		
practice	1				practice_v1	2	500		.jpg			Which car did you just view? There is only one correct answer. Press 1	practice-question.wav	2 5 8
practice	1				practice_v3	2	500		.jpg			Which car did you just view? There is only one correct answer. Press 1	practice-question.wav	2 5 8
practice	1				practice_v2	5	500		.jpg			Which car did you just view? There is only one correct answer. Press 1	practice-question.wav	2 5 8
instructions	1						500				These were the practice trials.<br><br>Great! Let's go on and do the actual test.<br><br>In this test		memorize_the_following_car_CCMT.wav	
learn	1				Slide1		500	3000	.jpg			Memorize		
learn	1				Slide2		500	3000	.jpg			Memorize		
learn	1				Slide3		500	3000	.jpg			Memorize		
test	1		1	learn	Slide4	8	500		.jpg			Which car did you just view?	practice-question.wav	2 5 8
test	1		2	learn	Slide5	8	500		.jpg			Which car did you just view?		2 5 8
test	1		3	learn	Slide6	5	500		.jpg			Which car did you just view?		2 5 8
instructions	1						500				Memorize the following car.<br><br>press ENTER.		memorize_the_following_car_CCMT.wav	
learn	1				Slide7		500	3000	.jpg			Memorize		
learn	1				Slide8		500	3000	.jpg			Memorize		
learn	1				Slide9		500	3000	.jpg			Memorize		
test	1		4	learn	Slide10	2	500		.jpg			Which car did you just view?	practice-question.wav	2 5 8
test	1		5	learn	Slide11	5	500		.jpg			Which car did you just view?		2 5 8
test	1		6	learn	Slide12	2	500		.jpg			Which car did you just view?		2 5 8
instructions	1						500				Memorize the following car.<br><br>press ENTER.		memorize_the_following_car_CCMT.wav	
learn	1				Slide13		500	3000	.jpg			Memorize		
learn	1				Slide14		500	3000	.jpg			Memorize		
learn	1				Slide15		500	3000	.jpg			Memorize		
test	1		7	learn	Slide16	8	500		.jpg			Which car did you just view?	practice-question.wav	2 5 8
test	1		8	learn	Slide17	2	500		.jpg			Which car did you just view?		2 5 8
test	1		9	learn	Slide18	5	500		.jpg			Which car did you just view?		2 5 8
instructions	1						500				Memorize the following car.<br><br>press ENTER.		memorize_the_following_car_CCMT.wav	
learn	1				Slide19		500	3000	.jpg			Memorize		
learn	1				Slide20		500	3000	.jpg			Memorize		
learn	1				Slide21		500	3000	.jpg			Memorize		
test	1		10	learn	Slide22	5	500		.jpg			Which car did you just view?	practice-question.wav	2 5 8
test	1		11	learn	Slide23	5	500		.jpg			Which car did you just view?		2 5 8
test	1		12	learn	Slide24	8	500		.jpg			Which car did you just view?		2 5 8
instructions	1						500				Memorize the following car.<br><br>press ENTER.		memorize_the_following_car_CCMT.wav	
learn	1				Slide25		500	3000	.jpg			Memorize		
learn	1				Slide26		500	3000	.jpg			Memorize		
learn	1				Slide27		500	3000	.jpg			Memorize		
test	1		13	learn	Slide28	5	500		.jpg			Which car did you just view?	practice-question.wav	2 5 8
test	1		14	learn	Slide29	2	500		.jpg			Which car did you just view?		2 5 8
test	1		15	learn	Slide30	8	500		.jpg			Which car did you just view?		2 5 8
instructions	1						500				Memorize the following car.<br><br>press ENTER.		memorize_the_following_car_CCMT.wav	
learn	1				Slide31		500	3000	.jpg			Memorize		
learn	1				Slide32		500	3000	.jpg			Memorize		
learn	1				Slide33		500	3000	.jpg			Memorize		
test	1		16	learn	Slide34	2	500		.jpg			Which car did you just view?	practice-question.wav	2 5 8
test	1		17	learn	Slide35	5	500		.jpg			Which car did you just view?		2 5 8
test	1		18	learn	Slide36	8	500		.jpg			Which car did you just view?		2 5 8
instructions	1				review		500					Review the cars (20 seconds)	review_CCMT.wav	
learn	1				review		500	20000	.jpg					
test	1		19	no_noise	Slide38	5	500		.jpg			Which car is one of the six target cars?	test-question.wav	2 5 8
test	2	yes	20	no_noise	Slide39	2	500		.jpg			Which car is one of the six target cars?		2 5 8
test	2	yes	21	no_noise	Slide40	2	500		.jpg			Which car is one of the six target cars?		2 5 8
test	2	yes	22	no_noise	Slide41	8	500		.jpg			Which car is one of the six target cars?		2 5 8
test	2	yes	23	no_noise	Slide42	5	500		.jpg			Which car is one of the six target cars?		2 5 8
test	2	yes	24	no_noise	Slide43	2	500		.jpg			Which car is one of the six target cars?		2 5 8
test	2	yes	25	no_noise	Slide44	8	500		.jpg			Which car is one of the six target cars?		2 5 8
test	2	yes	26	no_noise	Slide45	2	500		.jpg			Which car is one of the six target cars?		2 5 8
test	2	yes	27	no_noise	Slide46	2	500		.jpg			Which car is one of the six target cars?		2 5 8
test	2	yes	28	no_noise	Slide47	8	500		.jpg			Which car is one of the six target cars?		2 5 8
test	2	yes	29	no_noise	Slide48	8	500		.jpg			Which car is one of the six target cars?		2 5 8
test	2	yes	30	no_noise	Slide49	8	500		.jpg			Which car is one of the six target cars?		2 5 8
test	2	yes	31	no_noise	Slide50	5	500		.jpg			Which car is one of the six target cars?		2 5 8
test	2	yes	32	no_noise	Slide51	5	500		.jpg			Which car is one of the six target cars?		2 5 8
test	2	yes	33	no_noise	Slide52	8	500		.jpg			Which car is one of the six target cars?		2 5 8
test	2	yes	34	no_noise	Slide53	5	500		.jpg			Which car is one of the six target cars?		2 5 8
test	2	yes	35	no_noise	Slide54	2	500		.jpg			Which car is one of the six target cars?		2 5 8
test	2	yes	36	no_noise	Slide55	2	500		.jpg			Which car is one of the six target cars?		2 5 8
test	2	yes	37	no_noise	Slide56	5	500		.jpg			Which car is one of the six target cars?		2 5 8
test	2	yes	38	no_noise	Slide57	2	500		.jpg			Which car is one of the six target cars?		2 5 8
test	2	yes	39	no_noise	Slide58	2	500		.jpg			Which car is one of the six target cars?		2 5 8
test	2	yes	40	no_noise	Slide59	2	500		.jpg			Which car is one of the six target cars?		2 5 8
test	2	yes	41	no_noise	Slide60	8	500		.jpg			Which car is one of the six target cars?		2 5 8
test	2	yes	42	no_noise	Slide61	5	500		.jpg			Which car is one of the six target cars?		2 5 8
test	2	yes	43	no_noise	Slide62	5	500		.jpg			Which car is one of the six target cars?		2 5 8
test	2	yes	44	no_noise	Slide63	8	500		.jpg			Which car is one of the six target cars?		2 5 8
test	2	yes	45	no_noise	Slide64	5	500		.jpg			Which car is one of the six target cars?		2 5 8
