type	block	randomize	condition1	trialNo	stim1	key	ITI	presTime	stimFormat	title	content	trialText	trialAudio	keyboard	keypress	RT	ACC	t
instructions	1						500			Practice	Memorize the face in the next three images.<br><br>A test will follow.<br><br>press ENTER to begin.		CFMT-Practice_intro.wav					17.10053300857544
learn	1				bart_left		500	3000	.jpg			Practice						20.600050926208496
learn	1				bart_straight		500	3000	.jpg			Practice						24.102844953536987
learn	1				bart_right		500	3000	.jpg			Practice						27.600695848464966
practice	1				pract_left	1	500		.jpg			Which face did you just view? There is only one correct answer. Press 1	which_face_did_you_just_see.wav	1 2 3	2	1.3819019794464111	0	29.502928972244263
practice	1				pract_right	2	500		.jpg			Which face did you just view? There is only one correct answer. Press 1	which_face_did_you_just_see.wav	1 2 3	2	0.8909828662872314	1	30.901181936264038
practice	1				pract_straight	2	500		.jpg			Which face did you just view? There is only one correct answer. Press 1	which_face_did_you_just_see.wav	1 2 3	2	0.6661820411682129	1	32.0873749256134
instructions	1						500				These were the practice trials.<br><br>Great! Let's go on and do the actual test.<br><br>In this test		memorizefollowingCFMT.wav					42.03656506538391
learn	1				Bob_left_study		500	3000	.jpg			Memorize						45.53628587722778
learn	1				Bob_frontal_study		500	3000	.jpg			Memorize						49.040348052978516
learn	1				Bob_right_study		500	3000	.jpg			Memorize						52.53789186477661
test	1		learn	1	B1_Identical_Left	2	500		.jpg			Which face did you just view?	which_face_did_you_just_see.wav	1 2 3	2	2.7069151401519775	1	55.754411935806274
test	1		learn	2	B2_Identical_Frontal	3	500		.jpg			Which face did you just view?	which_face_did_you_just_see.wav	1 2 3	3	0.39417600631713867	1	56.67150807380676
test	1		learn	3	B3_Identical_Right	3	500		.jpg			Which face did you just view?	which_face_did_you_just_see.wav	1 2 3	1	0.3984529972076416	0	57.59063696861267
instructions	1						500				Memorize the following face.<br><br>press ENTER.		memorizefollowingCFMT.wav					67.55746006965637
learn	1				Dan_Left_Study		500	3000	.jpg			Memorize						71.05799794197083
learn	1				Dan_frontal_study		500	3000	.jpg			Memorize						74.55816984176636
learn	1				Dan_Right_Frontal		500	3000	.jpg			Memorize						78.05969905853271
