type,block,randomize,condition1,trialNo,stim1,key,ITI,presTime,stimFormat,title,content,trialText,button1,feedbackIncorrect,keyboard,keypress,RT,ACC,t
test,2,yes,no_noise,47,N_6_23_L_Pro,1,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3,3,0.44286012649536133,0,0.9642701148986816
test,2,yes,no_noise,41,J_4_23_R_Pro,2,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3,2,0.3032090663909912,1,1.782762050628662
test,2,yes,no_noise,48,B5_halflit_frontal,3,500,,.jpg,,,Which face is one of the six target faces?,,,1 2 3,3,1.1454451084136963,1,3.4310832023620605
