trialnr	stimulus
1	c2-4.wav
2	c5-7.wav
3	c4-1-5.wav
4	c6-2-9.wav
5	c3-2-7-9.wav
6	c4-9-6-8.wav
7	c1-5-2-8-6.wav
8	c6-1-8-4-3.wav
9	c7-2-4-8-5-6.wav
10	c5-3-9-4-1-8.wav
11	c4-7-3-9-1-2-8.wav
12	c8-1-2-9-3-6-5.wav
13	c7-2-8-1-9-6-5-3.wav
14	c9-4-3-7-6-2-5-8.wav
