item	type	picture	key	title	keyboard	keypress	RT	ACC	t
	message			Practice phase	return	return	2.1244421005249023		9.5367431640625e-07
1	practice	APM_I_01.gif			1,2,3,4,5,6,7,8	2	1.2755851745605469	0	1.3172059059143066
2	practice	APM_I_02.gif			1,2,3,4,5,6,7,8	4	0.16558003425598145	0	1.5080819129943848
3	practice	APM_I_03.gif			1,2,3,4,5,6,7,8	5	0.31202077865600586	0	1.8363609313964844
4	practice	APM_I_04.gif			1,2,3,4,5,6,7,8	2	0.21656394004821777	0	2.0764639377593994
5	practice	APM_I_05.gif			1,2,3,4,5,6,7,8	4	0.14620280265808105	0	2.236443042755127
6	practice	APM_I_06.gif			1,2,3,4,5,6,7,8	5	0.0164949893951416	0	2.2762060165405273
7	practice	APM_I_07.gif			1,2,3,4,5,6,7,8	2	0.27345895767211914	0	2.5644190311431885
8	practice	APM_I_08.gif			1,2,3,4,5,6,7,8	4	0.4043729305267334	0	2.996932029724121
9	practice	APM_I_09.gif			1,2,3,4,5,6,7,8	5	0.3971290588378906	0	3.404613971710205
10	practice	APM_I_10.gif			1,2,3,4,5,6,7,8	3	0.3856620788574219	0	3.812263011932373
11	practice	APM_I_11.gif			1,2,3,4,5,6,7,8	4	0.20398902893066406	0	4.028137922286987
12	practice	APM_I_12.gif			1,2,3,4,5,6,7,8	5	0.09995603561401367	0	4.140217065811157
	message			Test phase	return	return	4.07578706741333		9.5367431640625e-07
13	test	APM_II_01.gif	5		1,2,3,4,5,6,7,8	3	1.0225830078125	0	1.0482439994812012
14	test	APM_II_02.gif	1		1,2,3,4,5,6,7,8	6	0.8054418563842773	0	1.8803749084472656
15	test	APM_II_03.gif	7		1,2,3,4,5,6,7,8	4	0.3576819896697998	0	2.2640349864959717
16	test	APM_II_04.gif	4		1,2,3,4,5,6,7,8	5	0.30804991722106934	0	2.600044012069702
17	test	APM_II_05.gif	3		1,2,3,4,5,6,7,8	7	1.6231260299682617	0	4.248399972915649
18	test	APM_II_06.gif	1		1,2,3,4,5,6,7,8	4	6709.408320903778	0	6713.684422969818
