block	randomize	Trialnumber	type	IllusionType	Condition	Picture	Question_display1	keyboard	key	title	trialAudio	presTime	ITI	answer_type	ButtonPress	keypress	RT	ACC	t
1	yes	18	test	colour	illusion	cornsweet.png	Do the two rectangles on the side of the black bar have the same colour?	1 2	1		cornsweetQ.wav	5000	500	yes-no		2	5.434977054595947	0	5.9650609493255615
1	yes	9	test	shape	illusion	Orbison.png	Does the red figure look like an elongated square?	1 2	1		orbisonQC.wav	5000	500	yes-no		2	4.784339189529419	0	11.272310972213745
1	yes	16	test	shape	illusion	amodal.png	Are the black rectangles having different sizes?	1 2	1		amodalQ.wav	5000	500	yes-no		2	3.892340898513794	0	15.664734125137329
1	yes	21	test	colour	illusion	saturationcontrast.png	Do the two small boxes have the same colour?	1 2	1		saturationcontrastQ.wav	5000	500	yes-no		2	2.0181310176849365	0	18.200217962265015
1	yes	33	test	shape	control	ponzo_control.png	Are the two horizontal lines of different length?	1 2	1		ponzoQC.wav	5000	500	yes-no		2	0.8445107936859131	0	19.56827998161316
1	yes	39	test	shape	control	sander_control.png	Are the blue lines of the same length?	1 2	1		sanderQC.wav	5000	500	yes-no		2	0.7646558284759521	0	20.851154088974
1	yes	22	test	colour	illusion	cyan_square.png	Do the circles inside and outside the square have different colours?	1 2	1		cyansquareQC.wav	5000	500	yes-no		2	1.6341118812561035	0	22.998695135116577
1	yes	47	test	colour	control	whitesdottedline_control.png	Do the squares have different colour?	1 2	1		whitesdottedC.wav	5000	500	yes-no		2	1.1636440753936768	0	24.685975074768066
1	yes	43	test	shape	control	amodal_control.png	Are the black rectangles having different sizes?	1 2	1		amodalC.wav	5000	500	yes-no		2	1.4713070392608643	0	26.666861057281494
1	yes	38	test	shape	control	orbison_control.png	Does the red figure look like an elongated square?	1 2	1		orbisonQC.wav	5000	500	yes-no		2	1.4481470584869385	0	28.635633945465088
1	yes	29	test	ambiguous	illusion	stairs.png	Can you also see another representation?	1 2	1		stairs2.wav	5000	500	yes-no		2	1.3225510120391846	0	30.467905044555664
1	yes	15	test	shape	illusion	shepardtable.png	Do the red shapes have the same size?	1 2	1		shepardtableQC.wav	5000	500	yes-no		2	1.1133480072021484	0	32.104024171829224
1	yes	35	test	shape	control	delbouef_control.png	Do the two black circles have different sizes?	1 2	1		delbouefQC.wav	5000	500	yes-no		2	1.8718788623809814	0	34.48505616188049
1	yes	25	test	ambiguous	illusion	wifeMIL.png	What do you see?	1 2	1		ambiguious.wav	30000	500	spoken		2	2.9987740516662598	0	38.00223207473755
