item	type	picture	key	title	trialaudio	keyboard
	message			||	ravens.wav	return
1	practice	A11.jpg	a			"2,5,8,minus,a,f,j,semicolon"
2	practice	B12.jpg	f			"2,5,8,minus,a,f,j,semicolon"
3	practice	C4.jpg	semicolon			"2,5,8,minus,a,f,j,semicolon"
4	practice	C12.jpg	5			"2,5,8,minus,a,f,j,semicolon"
5	practice	D7.jpg	a			"2,5,8,minus,a,f,j,semicolon"
6	practice	D12.jpg	f			"2,5,8,minus,a,f,j,semicolon"
7	practice	E1.jpg	j			"2,5,8,minus,a,f,j,semicolon"
8	practice	E5.jpg	2			"2,5,8,minus,a,f,j,semicolon"
9	practice	E7.jpg	2			"2,5,8,minus,a,f,j,semicolon"
