item	type	picture	key	title	keyboard
	message			Practice phase	return
1	practice	APM_I_01.gif			"1,2,3,4,5,6,7,8"
2	practice	APM_I_02.gif			"1,2,3,4,5,6,7,8"
3	practice	APM_I_03.gif			"1,2,3,4,5,6,7,8"
4	practice	APM_I_04.gif			"1,2,3,4,5,6,7,8"
5	practice	APM_I_05.gif			"1,2,3,4,5,6,7,8"
6	practice	APM_I_06.gif			"1,2,3,4,5,6,7,8"
7	practice	APM_I_07.gif			"1,2,3,4,5,6,7,8"
8	practice	APM_I_08.gif			"1,2,3,4,5,6,7,8"
9	practice	APM_I_09.gif			"1,2,3,4,5,6,7,8"
10	practice	APM_I_10.gif			"1,2,3,4,5,6,7,8"
11	practice	APM_I_11.gif			"1,2,3,4,5,6,7,8"
12	practice	APM_I_12.gif			"1,2,3,4,5,6,7,8"
	message			Test phase	return
13	test	APM_II_01.gif	5		"1,2,3,4,5,6,7,8"
14	test	APM_II_02.gif	1		"1,2,3,4,5,6,7,8"
15	test	APM_II_03.gif	7		"1,2,3,4,5,6,7,8"
16	test	APM_II_04.gif	4		"1,2,3,4,5,6,7,8"
17	test	APM_II_05.gif	3		"1,2,3,4,5,6,7,8"
18	test	APM_II_06.gif	1		"1,2,3,4,5,6,7,8"
19	test	APM_II_07.gif	6		"1,2,3,4,5,6,7,8"
20	test	APM_II_08.gif	1		"1,2,3,4,5,6,7,8"
21	test	APM_II_09.gif	8		"1,2,3,4,5,6,7,8"
22	test	APM_II_10.gif	4		"1,2,3,4,5,6,7,8"
23	test	APM_II_11.gif	5		"1,2,3,4,5,6,7,8"
24	test	APM_II_12.gif	6		"1,2,3,4,5,6,7,8"
25	test	APM_II_13.gif	2		"1,2,3,4,5,6,7,8"
26	test	APM_II_14.gif	1		"1,2,3,4,5,6,7,8"
27	test	APM_II_15.gif	2		"1,2,3,4,5,6,7,8"
28	test	APM_II_16.gif	4		"1,2,3,4,5,6,7,8"
29	test	APM_II_17.gif	6		"1,2,3,4,5,6,7,8"
30	test	APM_II_18.gif	7		"1,2,3,4,5,6,7,8"
31	test	APM_II_19.gif	3		"1,2,3,4,5,6,7,8"
32	test	APM_II_20.gif	8		"1,2,3,4,5,6,7,8"
33	test	APM_II_21.gif	8		"1,2,3,4,5,6,7,8"
34	test	APM_II_22.gif	7		"1,2,3,4,5,6,7,8"
35	test	APM_II_23.gif	6		"1,2,3,4,5,6,7,8"
36	test	APM_II_24.gif	3		"1,2,3,4,5,6,7,8"
37	test	APM_II_25.gif	7		"1,2,3,4,5,6,7,8"
38	test	APM_II_26.gif	2		"1,2,3,4,5,6,7,8"
39	test	APM_II_27.gif	7		"1,2,3,4,5,6,7,8"
40	test	APM_II_28.gif	5		"1,2,3,4,5,6,7,8"
41	test	APM_II_29.gif	6		"1,2,3,4,5,6,7,8"
42	test	APM_II_30.gif	5		"1,2,3,4,5,6,7,8"
43	test	APM_II_31.gif	4		"1,2,3,4,5,6,7,8"
44	test	APM_II_32.gif	8		"1,2,3,4,5,6,7,8"
45	test	APM_II_33.gif	5		"1,2,3,4,5,6,7,8"
46	test	APM_II_34.gif	1		"1,2,3,4,5,6,7,8"
47	test	APM_II_35.gif	3		"1,2,3,4,5,6,7,8"
48	test	APM_II_36.gif	2		"1,2,3,4,5,6,7,8"
