item	type	picture	key	trialaudio	title	keyboard
	message			ravens.wav	||	return
1	practice	A10.jpg	3			"2,5,8,minus,a,f,j,semicolon"
2	practice	B4.jpg	2			"2,5,8,minus,a,f,j,semicolon"
3	practice	B9.jpg	4			"2,5,8,minus,a,f,j,semicolon"
4	practice	C6.jpg	4			"2,5,8,minus,a,f,j,semicolon"
5	practice	C10.jpg	6			"2,5,8,minus,a,f,j,semicolon"
6	practice	D8.jpg	4			"2,5,8,minus,a,f,j,semicolon"
7	practice	E2.jpg	6			"2,5,8,minus,a,f,j,semicolon"
8	practice	E4.jpg	2			"2,5,8,minus,a,f,j,semicolon"
9	practice	E9.jpg	3			"2,5,8,minus,a,f,j,semicolon"
